PDFname: CT14HERA2NNLO
 DATA SET: 542; Expt Name: CMS7jtR7y6; Expt Npt: 158;
!METADATA
{542, CMS7jtR7y6,     Pt         Ymn      Ymx          Exp      Th./Norm     TotErr     EXP/FIT  ERR/FIT    ChiSq  Shift    ShiftedData  UnCorErr  ReducedChi2  lob/lio, 1., 158, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465, 3.53946, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465}
!DATA
ipt   x            Q       Exp        TotErr       ShiftedData   UnCorErr     r_1           r_2          r_3          r_4            r_5           r_6          r_7           r_8           r_9           r_10         r_11         r_12         r_13          r_14         r_15         r_16         r_17         r_18          r_19           r_20          r_21          r_22          r_23          r_24         r_25          r_26          r_27          r_28           r_29         r_30         r_31          r_32         r_33         r_34         r_35         r_36          r_37          r_38         r_39          r_40          r_41           r_42         r_43          r_44         r_45          r_46         r_47         r_48         r_49          r_50          r_51          r_52         r_53         r_54          r_55         r_56         r_57
11    0.0898818    490.    81.3       4.007        88.24         1.094        -0.724314     -0.600183    -0.642779    -0.720932      -0.607587     -0.70128     -0.790219     -0.812431     -1.19963      -0.751188    -0.713437    -0.62404     -0.788483     -0.599634    -0.819744    -0.580804    -0.840037    -0.749634     -0.70585       -1.01536      -0.493693     -1.03446      -0.493601     -0.543693    -0.982358     -0.207313     -1.3489       -0.990768      -0.461883    -0.63574     -0.766819     -0.840494    -0.589854    -0.676143    -0.821664    -0.522121     -0.995795     -0.70192     -0.729525     -0.993053     -0.640768      -1.07806     -0.586654     -0.619013    -0.999909     -0.773309    -0.746344    -0.774497    -1.03272      -0.870475     -0.753839     -0.87011     -1.16252     -0.811883     -0.814625    -0.777148    -0.695064
12    0.0997871    544.    44.1       2.204        47.96         0.6555       -0.952555     -0.832647    -0.870481    -0.915789      -0.844088     -0.928299    -1.00778      -1.1402       -1.32037      -0.987185    -0.926316    -0.865446    -1.00397      -0.842563    -1.03768     -0.818612    -1.05904     -0.959725     -0.955454      -1.19481      -0.770709     -1.23814      -0.728452     -0.747674    -1.22166      -0.465446     -1.5312       -1.17742       -0.736995    -0.856903    -0.991762     -1.05965     -0.821053    -0.888635    -1.06117     -0.782151     -1.18124      -0.962471    -0.945995     -1.18947      -0.875515      -1.31854     -0.805339     -0.861937    -1.17727      -1.01541     -0.960183    -0.962014    -1.22212      -1.07704      -0.973303     -1.00992     -1.27384     -1.02777      -1.03509     -0.996339    -0.919451
13    0.110059     600.    23.9       1.243        25.95         0.4313       0.0832367     0.176675     0.170183     0.132854       0.147229      0.102713     0.0428936     -0.15604      -0.141665     0.0245769    0.121261     0.139346     0.0607466     0.170879     0.0322281    0.194992     -0.0111291   0.0971482     0.069789       -0.10109      0.237885      -0.14978      0.266636      0.281706     -0.154649     0.449339      -0.371667     -0.0628333     0.231162     0.172038     0.0447484     0.006492     0.184558     0.139346     0.011361     0.200325      -0.0751217    0.0593554    0.108277      -0.073035     0.134013       -0.256666    0.207744      0.122652     -0.0544864    0.0183167    0.0901924    0.107814     -0.115929     -0.00996986   0.0971482     0.0744262    -0.102249    0.0315326     0.04869      0.0482263    0.101785
14    0.121065     660.    13.5       0.6823       14.67         0.1508       -0.478117     -0.328249    -0.320292    -0.31366       -0.367374     -0.415119    -0.487401     -0.927056     -0.758621     -0.562334    -0.37931     -0.389257    -0.484748     -0.340186    -0.555703    -0.265252    -0.573607    -0.45756      -0.503316      -0.706897     -0.240716     -0.897878     -0.154509     -0.114058    -0.875995     0.177056      -1.19629      -0.66313       -0.240716    -0.293767    -0.480106     -0.568966    -0.295756    -0.330239    -0.615385    -0.269894     -0.688329     -0.56366     -0.433024     -0.679045     -0.414456      -1.06565     -0.226127     -0.409814    -0.690318     -0.61008     -0.411804    -0.397878    -0.755968     -0.596154     -0.441645     -0.450928    -0.681698    -0.539788     -0.540451    -0.535146    -0.416446
15    0.132805     724.    7.58       0.3917       8.231         0.08841      0.205407      0.309467     0.340799     0.321231       0.262866      0.225879     0.160389      -0.250424     -0.00328017   0.107906     0.240697     0.274856     0.160955      0.305848     0.129284     0.340459     0.073408     0.223165      0.16842        -0.0174188    0.357991      -0.122611     0.443954      0.473363     -0.163556     0.671983      -0.386042     0.0378916      0.357086     0.312521     0.148965      0.108811     0.313652     0.307884     0.0590431    0.317385      0.0404932     0.13132      0.25099       0.0148173     0.235268       -0.294876    0.395091      0.228368     0.0542925     0.076575     0.224975     0.242167     -0.0307658    0.0782717     0.202918      0.243638     0.0602873    0.127587      0.147947     0.153942     0.224409
16    0.144911     790.    4.35       0.2297       4.726         0.04685      -0.150053     -0.0595518   -0.020064    -0.000640342   -0.141729     -0.102455    -0.184205     -0.583351     -0.281537     -0.250374    -0.0847385   -0.0712914   -0.184632     -0.0514408   -0.198079    -0.0151547   -0.248666    -0.107791     -0.172252      -0.332764     -0.00512273   -0.433084     0.0633938     0.106083     -0.467236     0.263394      -0.656137     -0.284739      -0.0192102   -0.0458911   -0.190395     -0.231804    -0.0377801   -0.0275347   -0.301814    -0.0471718    -0.2873       -0.22476     -0.0890075    -0.314194     -0.116756      -0.603415    0.0567769     -0.127855    -0.280043     -0.25571     -0.120598    -0.0966916   -0.32444      -0.242903     -0.144717     -0.103522    -0.221558    -0.218783     -0.176948    -0.173319    -0.114194
17    0.157752     860.    2.55       0.1376       2.771         0.02853      -0.788994     -0.681739    -0.646688    -0.612338      -0.761654     -0.754995    -0.828251     -1.38205      -0.833509     -0.923589    -0.731861    -0.753593    -0.800561     -0.691202    -0.840168    -0.644585    -0.895198    -0.735366     -0.828952      -0.945671     -0.671574     -1.07185      -0.576236     -0.484402    -1.16404      -0.383807     -1.30599      -0.869961      -0.686996    -0.694707    -0.82755      -0.879075    -0.686646    -0.652296    -0.936558    -0.730109     -0.861549     -0.912022    -0.708377     -0.904662     -0.752892      -1.30915     -0.578339     -0.783736    -0.895549     -0.91728     -0.745882    -0.726954    -0.915528     -0.871363     -0.788644     -0.635471    -0.704171    -0.843323     -0.803715    -0.824746    -0.769015
18    0.171693     936.    1.48       0.08288      1.607         0.01727      -0.209612     -0.141285    -0.0909091   -0.0573248     -0.232774     -0.200347    -0.209033     -0.763173     -0.15634      -0.294731    -0.13839     -0.183555    -0.210191     -0.171975    -0.233932    -0.109438    -0.287203    -0.190504     -0.276202      -0.264042     -0.187609     -0.436016     -0.0428489    0.0324262    -0.510133     0.0463231     -0.559351     -0.213665      -0.220035    -0.103069    -0.242038     -0.252461    -0.169079    -0.0949624   -0.310944    -0.214244     -0.21077      -0.320208    -0.125072     -0.25883      -0.21714       -0.59062     -0.0862768    -0.245512    -0.241459     -0.335263    -0.152287    -0.119282    -0.275043     -0.217719     -0.165605     -0.0347423   0.0179502    -0.223509     -0.196294    -0.232195    -0.182397
19    0.186        1014.   0.854      0.05017      0.9295        0.01094      0.480073      0.51691      0.585375     0.629068       0.39808       0.526417     0.444516      0.0734004     0.48638       0.364442     0.525503     0.492687     0.471207      0.512157     0.442596     0.545247     0.404662     0.512706      0.427697       0.403931      0.517002      0.303748      0.596161      0.66947      0.23245       0.668007      0.202468      0.475777       0.469927     0.528702     0.448172      0.43574      0.518739     0.53309      0.414442     0.460786      0.5           0.359415     0.547532      0.428611      0.467276       0.156673     0.590494      0.453473     0.454936      0.376325     0.504388     0.476325     0.497258      0.443327      0.478885      0.543784     0.712888     0.417367      0.48958      0.456216     0.489397
20    0.201042     1096.   0.504      0.03054      0.5482        0.005261     1.00779       1.01882      1.0996       1.16461        0.893556      1.06691      0.985934      0.63296       1.14864       0.9023       1.07223      1.01293      1.0268        1.023        1.00931      1.04334      0.959894     1.05303       0.962745       1.00836       1.023         0.914085      1.08363       1.1551       0.835393      1.04638       0.940696      1.10131        0.923779     1.04087      1.00152       1.01996      1.01178      1.04277      0.99924      0.931002      1.12412       0.890895     1.07945       1.04372       0.965406       0.806691     1.08002       0.956472     1.08401       0.922258     1.04486      1.01331      1.13553       1.023         1.0325        1.10169      1.38909      0.963505      1.0766       1.01464      1.0154
