PDFname: CT14HERA2NNLO
 DATA SET: 542; Expt Name: CMS7jtR7y6; Expt Npt: 158;
!METADATA
{542, CMS7jtR7y6,     Pt         Ymn      Ymx          Exp      Th./Norm     TotErr     EXP/FIT  ERR/FIT    ChiSq  Shift    ShiftedData  UnCorErr  ReducedChi2  lob/lio, 1., 158, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465, 3.53946, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465}
!DATA
ipt   x            Q       Exp        TotErr       ShiftedData   UnCorErr     r_1           r_2          r_3          r_4            r_5           r_6          r_7           r_8           r_9           r_10         r_11         r_12         r_13          r_14         r_15         r_16         r_17         r_18          r_19           r_20          r_21          r_22          r_23          r_24         r_25          r_26          r_27          r_28           r_29         r_30         r_31          r_32         r_33         r_34         r_35         r_36          r_37          r_38         r_39          r_40          r_41           r_42         r_43          r_44         r_45          r_46         r_47         r_48         r_49          r_50          r_51          r_52         r_53         r_54          r_55         r_56         r_57
105   0.322258     392.    158.       12.07        170.3         2.021        2.52697       2.46066      2.61158      2.75606        2.03315       2.63632      2.43543       2.48243       2.59426       2.39782      2.58832      2.47204      2.56358       2.51262      2.48689      2.52697      2.48788      2.55418       2.48491        2.47452       2.54725       2.53587       2.47353       2.51163      2.52845       2.24542       2.72538       2.71252        2.28699      2.47798      2.52004       2.57843      2.4379       2.37407      2.68184      2.34339       2.78179       2.36517      2.58783       2.63187       2.45473        2.59476      2.4285        2.47897      2.64819       2.49975      2.51905      2.30826      2.92281       2.55913       2.55863       2.21623      3.24691      2.38595       2.70807      2.49381      2.53538
106   0.361718     440.    78.7       6.111        84.37         1.113        1.75454       1.68895      1.78284      1.85939        1.37161       1.85678      1.70288       1.89003       1.8301        1.73333      1.7973       1.72093      1.80557       1.75337      1.72471      1.72929      1.74708      1.77511       1.74043        1.76721       1.76819       1.85004       1.677         1.69524      1.85148       1.41491       2.10512       1.98904        1.523        1.69515      1.77835       1.84016      1.65004      1.57556      1.97808      1.55606       2.02345       1.66954      1.80845       1.92516       1.6867         1.99901      1.59686       1.7009       1.93064       1.76415      1.76119      1.51357      2.15256       1.78994       1.79695       1.41204      2.37808      1.66927       1.93091      1.74915      1.75642
107   0.402822     490.    38.4       3.077        41.05         0.6602       3.16677       3.11178      3.17237      3.20267        2.86322       3.24023      3.14359       3.37686       3.20251       3.18873      3.18176      3.14087      3.21751       3.15874      3.14374      3.13753      3.18812      3.16631       3.17449        3.16859       3.2063        3.2784        3.08922       3.08422      3.29794       2.8302        3.52287       3.37761        2.97258      3.09876      3.1963        3.2628       3.06831      2.97561      3.39927      3.00136       3.40261       3.13026      3.19206       3.33505       3.11345        3.47077      2.98622       3.10588      3.34399       3.19418      3.17419      2.94396      3.49803       3.18222       3.22175       2.82233      3.62648      3.10679       3.32733      3.16965      3.16752
108   0.447215     544.    20.4       1.69         21.67         0.4199       0.29507       0.244106     0.305311     0.269588       0.0974041     0.327697     0.280781      0.510598      0.312693      0.342462     0.314599     0.275542     0.34532       0.305787     0.293165     0.282448     0.317695     0.287449      0.321505       0.291022      0.335556      0.399143      0.238628      0.212908     0.421291      0.00357228    0.607049      0.456537       0.151465     0.252679     0.336747      0.368421     0.2191       0.137652     0.491546     0.180519      0.476304      0.293641     0.307216      0.456775      0.246249       0.587045     0.117171      0.240057     0.468445      0.331508     0.328173     0.121457     0.546797      0.309359      0.335794      0.0114313    0.578233     0.270779      0.415337     0.312455     0.302691
109   0.493252     600.    10.1       0.8907       10.72         0.2724       1.34912       1.29295      1.30323      1.29001        1.26211       1.35609      1.35646       1.54075       1.36344       1.40198      1.33884      1.31424      1.36858       1.33076      1.34692      1.30837      1.38399      1.31204       1.38399        1.37225       1.37739       1.45081       1.28267       1.24082      1.47687       1.08737       1.61601       1.48385        1.25         1.30947      1.36711       1.40162      1.27643      1.22467      1.50771      1.26836       1.47026       1.37078      1.34214       1.45962       1.32599        1.6105       1.19347       1.29956      1.48311       1.38803      1.34325      1.22137      1.51101       1.3572        1.37739       1.14941      1.47577      1.36013       1.43943      1.34581      1.3337
110   0.542577     660.    5.36       0.4729       5.657         0.06865      0.513328      0.386744     0.442243     0.287254       0.46453       0.467881     0.562127      0.900364      0.583103      0.668463     0.455936     0.461763     0.573197      0.466715     0.539694     0.415295     0.609614     0.477495      0.576693       0.537509      0.553969      0.715222      0.371158      0.314057     0.770867      -0.00568099   1.12411       0.760379       0.286235     0.395484     0.568682      0.656519     0.360379     0.265259     0.805827     0.35193       0.752513      0.6          0.452731      0.79563       0.442826       1.06934      0.176693      0.400874     0.846468      0.568099     0.565331     0.33547      0.749308      0.515222      0.602039      0.201602     0.586162     0.590969      0.686817     0.52032      0.507647
111   0.59519      724.    2.71       0.2508       2.855         0.04028      0.984359      0.89424      0.920556     0.746276       1.05511       0.920804     1.04543       1.29369       1.00894       1.13332      0.933962     0.934955     1.01192       0.946624     1.02582      0.912363     1.0648       0.95432       1.04096        0.993049      1.03575       1.11991       0.904171      0.834906     1.17602       0.608491      1.44613       1.13108        0.834906     0.883317     1.04518       1.0926       0.870904     0.804121     1.19191      0.899206      1.12736       1.08193      0.919563      1.20804       0.936197       1.4146       0.720705      0.885551     1.25074       1.03823      1.02929      0.889275     1.10328       0.966236      1.05735       0.776068     0.853525     1.07299       1.11792      0.984111     0.985104
112   0.649448     790.    1.38       0.1335       1.449         0.01765      1.19943       1.03626      1.09065      0.794901       1.48442       1.0289       1.30878       1.55524       1.34561       1.41983      1.08612      1.12068      1.23173       1.11105      1.26119      1.04419      1.37677      1.15864       1.24646        1.27875       1.18244       1.47139       1.02493       0.947309     1.47762       0.743343      1.79377       1.32465        1.04816      1.06289      1.23853       1.32748      1.04193      1.04023      1.33371      1.14278       1.29462       1.40113      1.07309       1.42266       1.14844        1.69122      0.94051       1.07479      1.49405       1.31445      1.23229      1.23173      1.20057       1.22833       1.25552       1.21246      0.766006     1.3864        1.26686      1.20907      1.16317
113   0.706994     860.    0.721      0.07345      0.7524        0.0102       -0.526176     -0.647549    -0.627353    -0.848627      -0.191863     -0.691667    -0.414412     -0.315686     -0.348824     -0.360196    -0.624216    -0.585196    -0.503922     -0.605196    -0.428333    -0.650098    -0.393333    -0.562549     -0.481275      -0.427353     -0.566471     -0.334902     -0.653627     -0.70098     -0.304412     -0.873235     -0.0655882    -0.43598       -0.605686    -0.611275    -0.478431     -0.439412    -0.623529    -0.599608    -0.445882    -0.558529     -0.472451     -0.362451    -0.629706     -0.328333     -0.559804      -0.160882    -0.704314     -0.637843    -0.263333     -0.452059    -0.488627    -0.42951     -0.589608     -0.524902     -0.451961     -0.373529    -0.948039    -0.346373     -0.446471    -0.508137    -0.536569
114   0.769473     936.    0.354      0.03852      0.3687        0.006094     0.0193633     -0.0607155   -0.0485724   -0.217755      0.370692      -0.126354    0.131605      0.00361011    0.244175      0.122744     -0.0482442   -0.0370857   0.0400394     -0.0541516   0.117493     -0.0841812   0.137184     0.00935346    0.0392189      0.124221      -0.0316705    0.1298        -0.041024     -0.0352806   0.103544      -0.182146     0.304398      0.0774532      -0.0208402   -0.0255989   0.051362      0.0766328    -0.0329833   0.00836889   0.0333115    -0.00262553   0.0577617     0.114375     -0.0467673    0.17148       -0.000492287   0.174106     -0.0493928    -0.0864785   0.245323      0.0628487    0.0656383    0.193305     -0.083853     0.0234657     0.0843453     0.34214      -0.311782    0.180505      0.083853     0.0387266    0.00557926
115   0.833595     1014.   0.18       0.02088      0.1863        0.003856     -1.69087      -1.74689     -1.74274     -1.8138        -1.43361      -1.80316     -1.62707      -1.83714      -1.50519      -1.66623     -1.74741     -1.74611     -1.69606      -1.74066     -1.63589     -1.76945     -1.63563     -1.70643      -1.71706       -1.62785      -1.75596      -1.64678      -1.73211      -1.68179     -1.70954      -1.76712      -1.57962      -1.67635       -1.7041      -1.69476     -1.68672      -1.67765     -1.73366     -1.65975     -1.74844     -1.69191      -1.70021      -1.65742     -1.72666      -1.61696      -1.7124        -1.70099     -1.68076      -1.7806      -1.57391      -1.69087     -1.66987     -1.51971     -1.81795      -1.68413      -1.67635      -1.37941     -1.91286     -1.59881      -1.65171     -1.68128     -1.72692
116   0.901006     1096.   0.0835     0.01033      0.08633       0.001123     -0.210597     -0.243277    -0.248798    -0.279163      0.150401      -0.338468    -0.101247     -0.587801     0.136776      -0.216028    -0.23829     -0.263045    -0.194479     -0.279786    -0.109439    -0.276937    -0.135886    -0.175512     -0.243544      -0.096171     -0.302582     -0.198842     -0.20463      -0.120125    -0.313446     -0.199822     -0.171416     -0.211932      -0.200534    -0.182814    -0.22805      -0.211487    -0.206233    -0.0951915   -0.331879    -0.191541     -0.2252       -0.206679    -0.219858     -0.151291     -0.21398       -0.385485    -0.0990205    -0.299199    -0.0723063    -0.227159    -0.168477    0.0951024    -0.378094     -0.187979     -0.169279     0.367498     -0.424666    -0.0985752    -0.155654    -0.17854     -0.234639
117   0.97335      1184.   0.0384     0.005144     0.03948       0.0006296    0.752065      0.758895     0.745712     0.829892       0.905972      0.708227     0.808609      0.34514       1.03367       0.667249     0.772078     0.718075     0.759689      0.718869     0.811944     0.732529     0.771283     0.804161      0.702668       0.850222      0.659149      0.723634      0.784784      0.874524     0.599269      0.8669        0.657878      0.738564       0.776684     0.807338     0.730464      0.722363     0.77716      0.885324     0.615311     0.772554      0.73364       0.693456     0.780972      0.74587       0.759689       0.476652     0.915661      0.71331      0.775889      0.714263     0.77859      0.986182     0.656131      0.784466      0.751588      1.19632      0.778907     0.785737      0.77446      0.779384     0.720616
123   0.17349      128.    53700.     8377.        63350.        759.4        0.208586      0.223861     0.238873     0.156176       0.344482      0.159205     0.22768       0.00632078    0.208717      0.208586     0.198446     0.208191     0.205162      0.224519     0.214116     0.218989     0.192784     0.210956      0.200948       0.145773      0.267975      0.0961285     0.291546      0.319989     0.0582038     0.308928      0.0900711     0.196471       0.223993     0.23005      0.196208      0.194891     0.216487     0.206347     0.197524     0.223203      0.199763      0.200948     0.209903      0.207269      0.202528       0.0803266    0.227285      0.17922      0.260864      0.159336     0.24335      0.248222     0.127469      0.16197       0.240716      0.321043     0.0934949    0.216092      0.240848     0.205557     0.193837
124   0.200598     148.    27200.     3799.        31320.        468.1        -0.947447     -0.951292    -0.934416    -0.916471      -0.875454     -0.989746    -0.916684     -1.23734      -0.824824     -0.996368    -0.951079    -0.963042    -0.941038     -0.961974    -0.938688    -0.933988    -0.970092    -0.926939     -0.97586       -0.950865     -0.941893     -1.0267       -0.900235     -0.849605    -1.08203      -0.857723     -1.04807      -0.969024      -0.949156    -0.916044    -0.976073     -0.971587    -0.932279    -0.905576    -1.0141      -0.93997      -0.960051     -0.991241    -0.940611     -0.953642     -0.947447      -1.12647     -0.868618     -0.976714    -0.939329     -1.00342     -0.916044    -0.828883    -1.02713      -0.96176      -0.928648     -0.751976    -0.991028    -0.926298     -0.960051    -0.936552    -0.96881
125   0.227706     168.    13500.     1739.        15290.        290.3        -1.22735      -1.23286     -1.22425     -1.15915       -1.19704      -1.22597     -1.19221      -1.42025      -1.04306      -1.25525     -1.21082     -1.23252     -1.19049      -1.23665     -1.18911     -1.2246      -1.22253     -1.2022       -1.24354       -1.15019      -1.26386      -1.20289      -1.23596      -1.18429     -1.26421      -1.22666      -1.21254      -1.20772       -1.24285     -1.19566     -1.24492      -1.23734     -1.22804     -1.16741     -1.27454     -1.24595      -1.21357      -1.27075     -1.19876      -1.19704      -1.22907       -1.32553     -1.14227      -1.22218     -1.18085      -1.25698     -1.19738     -1.1123      -1.23665      -1.21082      -1.19669      -1.04995     -1.15949     -1.17637      -1.21116     -1.20186     -1.23527
126   0.262946     194.    6360.      773.8        7154.         176.8        0.182749      0.169683     0.202319     0.269344       0.128903      0.193948     0.19638       -0.011991     0.352206      0.129129     0.206844     0.165611     0.203167      0.172681     0.198925     0.178903     0.179808     0.213971      0.157975       0.218439      0.153733      0.186821      0.179016      0.231505     0.132975      0.163631      0.205713      0.225962       0.147059     0.201527     0.174321      0.186538     0.178846     0.219457     0.162839     0.145984      0.239253      0.126923     0.216686      0.214367      0.17336        0.0966629    0.236369      0.164536     0.224604      0.149321     0.209672     0.245645     0.223699      0.19819       0.202828      0.293269     0.345249     0.184672      0.203733     0.207862     0.176414
127   0.309029     228.    2730.      308.         3035.         36.68        1.56652       1.51745      1.57388      1.72519        1.33697       1.6175       1.57797       1.38931       1.88495       1.494        1.6235       1.52781      1.62704       1.53844      1.59842      1.54771      1.58751      1.62459       1.52126        1.68784       1.48855       1.67039       1.49864       1.57279      1.58942       1.3566        1.80834       1.71538        1.41658      1.55589      1.56734       1.6096       1.52017      1.56516      1.61614      1.43948       1.74373       1.46292      1.62868       1.69629       1.53435        1.59542      1.58969       1.50518      1.70556       1.5289       1.59951      1.59433      1.79417       1.61914       1.59733       1.59733      2.05971      1.54198       1.6524       1.6115       1.56897
128   0.360534     266.    1120.      122.9        1235.         18.32        0.875         0.849345     0.875        1.02347        0.55786       0.916485     0.837882      0.885917      1.04803       0.799127     0.924672     0.831332     0.892467      0.856987     0.895197     0.820415     0.8881       0.906114      0.854258       0.920306      0.844432      1.01365       0.79476       0.808952     0.948144      0.644651      1.14902       1.01365        0.71179      0.829148     0.894105      0.941594     0.833515     0.792031     0.986354     0.757096      1.04094       0.80131      0.914847      0.962336      0.821507       1.00873      0.827511      0.81059      0.993996      0.873362     0.874454     0.792576     1.12445       0.937773      0.873908      0.733079     1.32533      0.829694      0.956878     0.921397     0.882096
129   0.41475      306.    475.       52.19        518.8         10.19        0.0529931     0.00696762   0.0448479    0.0974485      -0.162218     0.095682     0.0458292     0.172522      0.163494      0.049264     0.068106     0.0287537    0.08842       0.0275761    0.0626104    0.0180569    0.0806673    0.0559372     0.0491658      0.103925      0.029735      0.165947      -0.02316      -0.0243376   0.166928      -0.196075     0.338469      0.196075       -0.0816487   0.0105986    0.0713445     0.111089     -0.0196271   -0.0439647   0.174289     -0.0587831    0.205397      0.0249264    0.0727184     0.180864      0.0113837      0.25211      -0.0483808    0.00618253   0.184495      0.0654563    0.0656526    -0.0470069   0.268891      0.0800785     0.0782139     -0.121197    0.37792      0.0321884     0.152012     0.0653582    0.0509323
130   0.471676     348.    208.       23.39        226.1         5.993        0.0911063     0.0507258    0.0764225    0.0784248      -0.052895     0.110629     0.0640748     0.279826      0.0642416     0.112631     0.0881028    0.0862673    0.0942767     0.0809277    0.0861005    0.0667445    0.100451     0.0699149     0.102787       0.0981145     0.0999499     0.174203      0.0340397     0.00767562   0.198732      -0.0814283    0.27432       0.163524       0.0095111    0.0452194    0.103788      0.132822     0.0308693    0.0100117    0.181211     0.0350409     0.170199      0.103955     0.0844318     0.15735       0.0574003      0.274153     -0.0146838    0.0714167    0.159519      0.109795     0.0927749    -0.0310362   0.215084      0.0901051     0.0994494     -0.118972    0.221425     0.063741      0.151343     0.0847656    0.100117
131   0.531313     392.    95.3       10.64        102.9         1.348        -0.847923     -0.951039    -0.896142    -1.02493       -1.04896      -0.866469    -0.88724      -0.326409     -0.954006     -0.775223    -0.940653    -0.913205    -0.846439     -0.87908     -0.893175    -0.94362     -0.84273     -0.905786     -0.847181      -0.839763     -0.802671     -0.73368      -0.981454     -1.12018     -0.581602     -1.26558      -0.421365     -0.752226      -0.96365     -0.995549    -0.85089      -0.762611    -0.967359    -1.07122     -0.652819    -0.972552     -0.735905     -0.757418    -0.959199     -0.688427     -0.887982      -0.399852    -1.12092      -0.909496    -0.684718     -0.763353    -0.881306    -1.09421     -0.686202     -0.888724     -0.855341     -1.3316      -0.856825    -0.856825     -0.78635     -0.84273     -0.829377
132   0.596372     440.    41.8       4.846        44.98         0.7198       1.49          1.43387      1.42359      1.24215        1.57669       1.43415      1.50167       1.97208       1.33384       1.6449       1.41136      1.48833      1.4818        1.46791      1.50847      1.42901      1.5628       1.43443       1.56085        1.50764       1.505         1.61462       1.41053       1.29994      1.72187       1.25521       1.77285       1.52959        1.45679      1.41206      1.52695       1.55001      1.43137      1.36705      1.61434      1.47666       1.50292       1.63254      1.41275       1.58002       1.47333        1.8808       1.28994       1.4554       1.59475       1.58294      1.46999      1.36191      1.50181       1.49153       1.48722       1.26646      1.21631      1.5521        1.50681      1.47152      1.51625
133   0.664142     490.    19.6       2.373        20.92         0.4383       -0.429158     -0.442391    -0.470226    -0.651837      -0.273785     -0.472507    -0.415697     -0.0855578    -0.607803     -0.289984    -0.494182    -0.419347    -0.446954     -0.430299    -0.421857    -0.45243     -0.375086    -0.476158     -0.369838      -0.46977      -0.369838     -0.365731     -0.443304     -0.533653    -0.276979     -0.544604     -0.264431     -0.438741      -0.405658    -0.479808    -0.38193      -0.393566    -0.457906    -0.489391    -0.346794    -0.406571     -0.467488     -0.293406    -0.504677     -0.379649     -0.422542      -0.158795    -0.561031     -0.44125     -0.374401     -0.347935    -0.44125     -0.512434    -0.469313     -0.446954     -0.429158     -0.564454    -0.777321    -0.380105     -0.406571    -0.451517    -0.399726
134   0.737333     544.    9.         1.158        9.537         0.2676       -0.760762     -0.774851    -0.802504    -0.953662      -0.550785     -0.835239    -0.731315     -0.568348     -0.857549     -0.662855    -0.817152    -0.756726    -0.776981     -0.774813    -0.741704    -0.790359    -0.721824    -0.79503      -0.727728      -0.771562     -0.741854     -0.729933     -0.779036     -0.831016    -0.678139     -0.809791     -0.691928     -0.801271      -0.725972    -0.792937    -0.744619     -0.751719    -0.774141    -0.781465    -0.754297    -0.716592     -0.823318     -0.65725     -0.828251     -0.746824     -0.762556      -0.629484    -0.830306     -0.780269    -0.733595     -0.708819    -0.778886    -0.756876    -0.86506      -0.782474     -0.763004     -0.736435    -1.11973     -0.70213      -0.770254    -0.779484    -0.748879
135   0.813235     600.    3.89       0.5411       4.111         0.1676       0.120107      0.128162     0.09821      -0.00578759    0.301074      0.0677208    0.136396      0.230847      0.0176014     0.176372     0.0804893    0.13222      0.0979117     0.119511     0.124881     0.107041     0.140871     0.0971957     0.138604       0.0896778     0.14457       0.112291      0.127148      0.0850239    0.149045      0.144033      0.0952267     0.050179       0.186098     0.105131     0.125179      0.111098     0.132399     0.134785     0.0864558    0.177625      0.0315632     0.196897     0.0694511     0.0926611     0.128401       0.153878     0.107518      0.118914     0.0963007     0.161038     0.0979714    0.143616     -0.00173031   0.0920644     0.109487      0.171301     -0.197255    0.152387      0.0962411    0.102745     0.128759
136   0.894558     660.    1.72       0.2444       1.806         0.03109      -0.0932776    -0.0578964   -0.159215    -0.350595      0.411065      -0.222901    -0.0697974    0.0575748     -0.33001      0.00353812   -0.162432    -0.0566098   -0.147636     -0.101962    -0.0720489   -0.0926343   -0.0852364   -0.130267     -0.0697974     -0.163718     -0.0710839    -0.180766     -0.02734      -0.118044    -0.105179     0.097459      -0.29688      -0.31843       0.114828     -0.102605    -0.101962     -0.146671    -0.0376327   -0.010936    -0.243487    0.0926343     -0.369894     0.0652943    -0.181087     -0.239305     -0.042779      -0.174333    -0.0212287    -0.0820199   -0.242843     -0.021872    -0.152782    0.0250885    -0.456095     -0.137665     -0.159215     0.173689     -0.881634    -0.0180122    -0.167578    -0.139595    -0.0781602
137   0.981303     724.    0.752      0.115        0.7848        0.01678      -1.48504      -1.38778     -1.50113     -1.60423       -1.11442      -1.54428     -1.47878      -1.45596      -1.72282      -1.44255     -1.51609     -1.42771     -1.5416       -1.45048     -1.49374     -1.44589     -1.49917     -1.49875      -1.46877       -1.55572      -1.44797      -1.61037      -1.38963      -1.4261      -1.56907      -1.1556       -1.84529      -1.72521       -1.24934     -1.44142     -1.50036      -1.57104     -1.37825     -1.35626     -1.65936     -1.29112      -1.75405      -1.39225     -1.53504      -1.67652      -1.4183        -1.69434     -1.33969      -1.40632     -1.70161      -1.4258      -1.55739     -1.35518     -1.80995      -1.52038      -1.54523      -1.21621     -2.06418     -1.47622      -1.58665     -1.52521     -1.46097
144   0.286037     128.    34300.     14300.       45510.        510.4        -0.353448     -0.322688    -0.32837     -0.416928      -0.275862     -0.342868    -0.38127      -0.22453      -0.558386     -0.301724    -0.356975    -0.331113    -0.37069      -0.314655    -0.399099    -0.326803    -0.366771    -0.375        -0.343064      -0.437108     -0.270768     -0.42261      -0.293887     -0.337382    -0.3654       -0.300157     -0.427116     -0.37598       -0.313284    -0.362265    -0.34953      -0.36442     -0.331113    -0.388323    -0.342672    -0.331309     -0.389694     -0.306034    -0.367163     -0.386951     -0.340321      -0.335619    -0.385776     -0.336795    -0.395964     -0.3125      -0.384208    -0.44181     -0.357563     -0.376959     -0.362461     -0.420259    -0.47355     -0.376176     -0.345219    -0.410658    -0.305251
145   0.33073      148.    16800.     6365.        21230.        302.9        0.314955      0.335424     0.332123     0.411687       0.30307       0.337735     0.330802      0.168042      0.3965        0.282602     0.360515     0.310003     0.317266      0.323209     0.330142     0.336415     0.305381     0.347639      0.319577       0.331463      0.315946      0.300099      0.346979      0.39485      0.272697      0.385936      0.23176       0.323539       0.328491     0.367118     0.320898      0.30208      0.333774     0.356553     0.287554     0.333113      0.320898      0.27864      0.362826      0.288544      0.323539       0.20964      0.392869      0.337405     0.300099      0.291845     0.34896      0.39485      0.313305      0.32486       0.316276      0.438429     0.419941     0.317597      0.295807     0.341367     0.327171
146   0.375423     168.    8240.      2906.        9966.         198.9        -0.190397     -0.195475    -0.189241    -0.0891403     -0.268225     -0.177275    -0.167823     -0.356913     0.00603318    -0.237657    -0.161136    -0.209854    -0.164404     -0.20553     -0.164806    -0.193565    -0.184615    -0.168074     -0.210759      -0.146807     -0.244143     -0.159326     -0.208899     -0.153243    -0.222976     -0.193162     -0.177476     -0.16189       -0.217898    -0.16189     -0.200603     -0.185168    -0.188286    -0.167421    -0.208245    -0.219407     -0.151835     -0.249271    -0.151584     -0.178984     -0.191403      -0.267069    -0.140925     -0.188738    -0.158371     -0.232227    -0.154751    -0.10905     -0.135244     -0.156461     -0.176973     -0.0960282   -0.0100553   -0.173655     -0.200201    -0.150226    -0.21815
147   0.433524     194.    3930.      1314.        4605.         109.3        -0.306587     -0.335499    -0.333577    -0.241263      -0.415005     -0.296706    -0.28774      -0.330467     -0.14108      -0.329826    -0.291857    -0.330558    -0.288655     -0.34108     -0.274565    -0.337786    -0.285544    -0.295425     -0.312992      -0.225984     -0.377768     -0.216743     -0.374474     -0.347118    -0.24538      -0.405489     -0.182251     -0.262031      -0.348124    -0.305124    -0.303751     -0.284355    -0.331473    -0.304483    -0.296981    -0.345471     -0.25032      -0.331199    -0.291949     -0.265142     -0.318939      -0.257914    -0.305489     -0.310613    -0.276761     -0.320494    -0.284538    -0.26258     -0.248948     -0.264684     -0.296889     -0.291583    -0.146752    -0.290668     -0.308875    -0.263403    -0.330192
148   0.509503     228.    1600.      520.3        1818.         23.79        0.258932      0.182009     0.226986     0.309794       0.0374107     0.252627     0.2686        0.311055      0.433375      0.218579     0.237915     0.190416     0.294241      0.187474     0.302648     0.198403     0.279529     0.256831      0.262295       0.3657        0.180748      0.403531      0.131148      0.15889      0.396385      0.0395124     0.513241      0.342161       0.137453     0.219        0.25641       0.286255     0.192518     0.209752     0.312316     0.176124      0.337537      0.245902     0.246742      0.360235      0.202186       0.400168     0.166036      0.211433     0.345523      0.236234     0.28037      0.258932     0.358554      0.269861      0.271963      0.131988     0.467003     0.255149      0.255149     0.302228     0.197142
149   0.59442      266.    582.       189.3        646.2         11.48        1.82875       1.77892      1.82012      1.79451        1.69573       1.82761      1.83807       1.96254       1.87953       1.85592      1.81542      1.80784      1.84146       1.80941      1.84024      1.79556      1.85462      1.81359       1.84312        1.84721       1.81847       1.9169        1.75749       1.73885      1.94312       1.6196        2.05706       1.90436        1.75645      1.79146      1.84652       1.87936      1.76768      1.76733      1.90035      1.77378       1.89713       1.85984      1.80749       1.91585       1.79007        2.02021      1.72805       1.77352      1.94599       1.8284       1.84852      1.75836      1.90967       1.81132       1.85775       1.61045      1.88328      1.83319       1.87509      1.84991      1.8176
150   0.683806     306.    220.       73.29        238.6         5.729        0.994589      0.97853      1.00873      0.942573       0.973817      0.98429      1.00262       1.0569        0.943097      1.02042      0.983941     0.997033     0.994938      0.99232      0.997207     0.984116     1.00541      0.983592      1.01361        0.943271      1.048         0.987956      1.00052       0.96125      1.02007       0.932449      1.06319       1.00681        0.976261     0.973643     1.00489       1.01571      0.97469      0.970326     1.03037      0.983767      1.0103        1.0384       0.962123      1.03753       0.971548       1.07523      0.932798      0.955141     1.05568       0.992669     1.00314      0.933496     0.985861      0.959853      1.02601       0.846046     0.907139     0.998604      1.03142      0.999302     0.991447
151   0.777662     348.    90.9       31.56        96.13         3.307        -1.63009      -1.63695     -1.62761     -1.70904       -1.56656      -1.66396     -1.61766      -1.58594      -1.66504      -1.59667     -1.65234     -1.62483     -1.63765      -1.63187     -1.62676     -1.6404      -1.6179      -1.6384       -1.62292       -1.65727      -1.60399      -1.63133      -1.62613      -1.64633     -1.61512      -1.66205      -1.59504      -1.64128       -1.62138     -1.64451     -1.62392      -1.62307     -1.64103     -1.63099     -1.63635     -1.61678      -1.65198      -1.58679     -1.66093      -1.61533      -1.64037       -1.5915      -1.6541       -1.65682     -1.59601      -1.61376     -1.63245     -1.63263     -1.67771      -1.65718      -1.61854      -1.65531     -1.7915      -1.61355      -1.61098     -1.6384      -1.62537
152   0.875987     392.    32.3       11.81        33.61         0.5819       0.773501      0.779687     0.756831     0.568826       1.10569       0.658189     0.79945       0.766283      0.668156      0.841554     0.712322     0.784327     0.738615      0.771267     0.777625     0.7558       0.788108     0.752019      0.779859       0.707682      0.822306      0.693762      0.813542      0.801684     0.725382      0.83004       0.715071      0.685169       0.849115     0.755113     0.776422      0.751847     0.773329     0.809761     0.694621     0.835023      0.656298      0.8663       0.697371      0.742396      0.768173       0.724179     0.775047      0.729163     0.784155      0.821275     0.742567     0.849459     0.572951      0.710431      0.773157      0.965114     0.283038     0.805293      0.794123     0.736553     0.784327
153   0.983251     440.    11.9       4.689        12.09         0.3088       0.717617      0.76101      0.682966     0.624352       1.00745       0.649935     0.759067      0.696891      0.660622      0.764249     0.701101     0.734132     0.696244      0.705959     0.714054     0.701425     0.73057      0.732837      0.72636        0.682642      0.721503      0.643782      0.76263       0.756801     0.664508      0.839054      0.602979      0.62921        0.831282     0.718912     0.71956       0.670661     0.76943      0.792746     0.60978      0.795984      0.584845      0.779145     0.689767      0.653174      0.742876       0.604922     0.791451      0.720531     0.649935      0.767811     0.67649      0.814443     0.556671      0.713407      0.710816      0.962759     0.365933     0.742876      0.70693      0.674547     0.734132
1     0.0142409    128.    1.03E5     10820.       1.158E5       1258.        -1.50954      -1.54769     -1.49285     -1.3275        -1.80366      -1.49285     -1.55803      -1.7806       -1.30684      -1.62162     -1.46264     -1.5151      -1.50715      -1.53736     -1.56121     -1.51351     -1.51749     -1.45707      -1.5461        -1.49126      -1.61765      -1.54372      -1.54372      -1.48569     -1.59857      -1.66216      -1.39587      -1.40382       -1.66057     -1.50556     -1.51749      -1.50079     -1.5779      -1.5461      -1.52464     -1.6566       -1.32591      -1.61685     -1.46661      -1.47297      -1.54769       -1.61049     -1.53418      -1.61049     -1.44992      -1.61765     -1.53577     -1.56359     -1.31081      -1.53339      -1.54054      -1.56121     -1.00477     -1.58347      -1.46582     -1.52862     -1.531
